start,end,text,speaker,robot-guess,certainty,status,round,transaction unit,position,gold character,final guess,circle,robot_correct,tu relation,hum-selection
2024-10-11 18:34:54.041,2024-10-11 18:34:55.297,"Hello! I am Robin. Let's play this game! Before we start with the real game, let's practice the basics. Are you ready?",Robot,,,,0.0,,,,,,,,
2024-10-11 18:34:55.297,2024-10-11 18:35:44.721,"Great. Now describe the character to me that you see in the first spot. For example, you can tell me what their face looks like, or something else that catches your eye.",Robot,,,,0.0,,,,,,,,
2024-10-11 18:35:44.721,2024-10-11 18:35:44.764,The character in the first spot is a female with a dark blue top and blond hair. She is smiling.,Human,,,,0.0,,,,,,,,
2024-10-11 18:35:44.764,2024-10-11 18:36:21.074,"Ah yes, that one is in the second spot for me. You can now click the number 1. A menu will open where you can click on the number 2, indicating that the one you just described is in the second spot in my picture. When you've done this, you will see a checkmark indicating that you've filled in this position. Is that correct?",Robot,,,,0.0,,,,,,,,
2024-10-11 18:36:21.074,2024-10-11 18:36:21.111,"Yes, that is correct.",Human,,,,0.0,,,,,,,,
2024-10-11 18:36:21.111,2024-10-11 18:36:31.506,"Great! In the real game, we have to find the answers for all the characters. Please press the button to continue to the first round.",Robot,,,,0.0,,,,,,,,
2024-10-11 18:36:31.506,2024-10-11 18:36:31.507,Let's start!,Robot,,,,1.0,,,,,,,,
2024-10-11 18:36:31.507,2024-10-11 18:37:00.392,Who is in spot 1 for you?,Robot,,,,1.0,1.0,1.0,,,,,,
2024-10-11 18:37:00.392,2024-10-11 18:37:01.918,"In the first spot is a female with long brown hair, almost to her waist. She is wearing a dark top and teal pants.",Human,10.0,0.4276212785916307,SUCCESS_LOW,1.0,1.0,1.0,10.0,,outer,,answer-description,
2024-10-11 18:37:01.918,2024-10-11 18:37:06.128,the woman with wavy hair?,Robot,,,,1.0,1.0,1.0,,,,,req-clar,
2024-10-11 18:37:06.128,2024-10-11 18:37:06.291,Yes,Human,,,,1.0,1.0,1.0,,,,,clar-confirm,
2024-10-11 18:37:06.291,2024-10-11 18:37:06.292,"Oh, the woman with wavy hair is in spot 5 for me. You can now fill in this position. Keep it up!",Robot,,,,1.0,1.0,1.0,10.0,10.0,outer,correct,ack-done; encourage,
2024-10-11 18:37:06.292,2024-10-11 18:37:13.279,And spot 2?,Robot,,,,1.0,2.0,2.0,,,,,,
2024-10-11 18:37:13.279,2024-10-11 18:37:37.626,,,,,,1.0,,,,,,,,5.0
